code,name,industry,outstanding,totals,timeToMarket
603903,中持股份,环境保护,0.74,1.03,20170314
300568,星源材质,化工原料,1.28,1.92,20161201
000040,东旭蓝天,新型电力,10.6,13.37,19940808
300325,德威新材,塑料,7.95,10.06,20120601
603025,大豪科技,电脑设备,6.26,6.36,20150422
603189,网达软件,软件服务,1.1,2.21,20160914
300134,大富科技,通信设备,7.12,7.67,20101026
600744,华银电力,火力发电,8.28,17.81,19960905
002192,融捷股份,专用机械,2.37,2.6,20071205
300448,浩云科技,软件服务,2.13,4.09,20150424
002368,太极股份,软件服务,4.0,4.15,20100312
000756,新华制药,化学制药,3.07,4.78,19970806
002012,凯恩股份,造纸,4.68,4.68,20040705
300373,扬杰科技,半导体,2.33,4.72,20140123
300302,同有科技,软件服务,2.45,4.21,20120321
600782,新钢股份,普钢,27.87,31.89,19961225
300037,新宙邦,化工原料,2.44,3.79,20100108
600011,华能国际,火力发电,105.0,152.0,20011206
002832,比音勒芬,服饰,0.79,1.81,20161223
300065,海兰信,软件服务,2.74,3.62,20100326
000712,锦龙股份,证券,8.95,8.96,19970415
002618,丹邦科技,元器件,5.48,5.48,20110920
002539,云图控股,农药化肥,4.78,10.1,20110118
603466,风语筑,文教休闲,0.72,2.92,20171020
300383,光环新网,电信运营,13.88,14.46,20140129
300339,润和软件,软件服务,5.16,7.96,20120718
601878,浙商证券,证券,12.09,33.33,20170626
603019,中科曙光,电脑设备,6.43,6.43,20141106
601066,中信建投,证券,4.0,76.46,20180620
002384,东山精密,通信设备,7.75,10.71,20100409
000001,平安银行,银行,171.7,171.7,19910403
002129,中环股份,半导体,26.44,26.44,20070420
000100,TCL 集团,家用电器,117.28,135.5,20040130
002891,中宠股份,饲料,0.25,1.0,20170821
600476,湘邮科技,软件服务,1.61,1.61,20031210
002803,吉宏股份,广告包装,0.46,1.16,20160712
002911,佛燃股份,供气供热,0.56,5.56,20171122
600179,安通控股,仓储物流,6.74,14.87,19981104
002670,国盛金控,证券,6.38,19.45,20120416
600021,上海电力,火力发电,8.56,24.1,20031029
002654,万润科技,半导体,6.89,9.03,20120217
300429,强力新材,化工原料,1.41,2.71,20150324
603689,皖天然气,供气供热,1.67,3.36,20170110
600536,中国软件,软件服务,4.95,4.95,20020517
600830,香溢融通,多元金融,4.54,4.54,19940224
300377,赢时胜,软件服务,4.28,7.42,20140127
002546,新联电子,电气设备,7.82,8.34,20110211
600999,招商证券,证券,49.04,66.99,20091117
300668,杰恩设计,装修装饰,0.56,1.05,20170619
600117,西宁特钢,特种钢,7.41,10.45,19971015
600833,第一医药,医药商业,2.23,2.23,19940224
600380,健康元,化学制药,15.72,15.73,20010608
601108,财通证券,证券,3.59,35.89,20171024
603200,上海洗霸,环境保护,0.25,0.75,20170601
600926,杭州银行,银行,20.81,51.3,20161027
600652,游久游戏,互联网,8.33,8.33,19901219
000537,广宇发展,区域地产,4.06,18.63,19931210
